Certificate Number,Customer,Country,State,Blanket Exemption,Valid From,Subsidiary,Notes
Nordstrom Exempt - 072,072 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 072 - Station Park Rack,US,UT,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 074,074 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 074 - University Crossing Rack,US,UT,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 109,109 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 109 - Spokane Valley Plaza Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 110,110 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 110 - BelMar Rack,US,CO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 111,111 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 111 - Northgate Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 112,112 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 112 - Oakway Center Rack,US,OR,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 113,113 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 113 - Cascade Station Rack,US,OR,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 120,120 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 120 - Tacoma Mall Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 125,125 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 125 - Cascade Plaza Rack,US,OR,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 130,130 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 130 - Boise Town Rack,US,ID,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 135,135 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 135 - Twenty Ninth Street Rack,US,CO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 136,136 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 136 - Cherry Creek Rack,US,CO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 137,137 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 137 - Chapel Hills East Rack,US,CO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 138,138 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 138 - Lincoln Square Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 139,139 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 139 - Totem Lake Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 140,140 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 140 - Foothills Mall Rack,US,CO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 148,148 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 148 - The Orchard Rack,US,CO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 150,150 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 150 - Tempe Marketplace Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 151,151 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 151 - Wilmot Plaza Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 154,154 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 154 - San Tan Village Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 155,155 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 155 - Winrock Rack,US,NM,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 160,160 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 160 - The Center at Rancho Niguel Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 161,161 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 161 - Valencia Promenade Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 162,162 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 162 - El Segundo Plaza Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 163,163 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 163 - Fig at 7th Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 164,164 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 164 - Porter Ranch Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 165,165 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 165 - Marina Pacifica Mall Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 166,166 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 166 - The Shops at La Jolla Village Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 167,167 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 167 - Cerritos Plaza Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 168,168 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 168 - The Market Place Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 200,200 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 200 - Overland Crossing Rack,US,KS,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 217,217 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 217 - Southlands Rack,US,CO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 224,224 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 224 - Woodfield Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 229,229 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 229 - Village Square Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 231,231 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 231 - Troy Market Place Rack,US,MI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 233,233 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 233 - Mall of America Rack,US,MN,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 241,241 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 241 - Legacy Village Rack,US,OH,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 242,242 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 242 - Orland Park Place Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 243,243 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 243 - Rookwood Rack,US,OH,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 244,244 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 244 - Shops at Orchard Place Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 245,245 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 245 - Chicago Avenue Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 246,246 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 246 - Brentwood Square Rack,US,MO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 247,247 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 247 - Rivers Edge Rack,US,IN,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 248,248 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 248 - Orchard Corners Rack,US,KS,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 249,249 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 249 - Manchester Highlands Rack,US,MO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 250,250 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 250 - Bradley Fair Wichita Rack,US,KS,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 253,253 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 253 - Mellody Farm Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 256,256 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 256 - Woodbury Rack,US,MN,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 264,264 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 264 - Harlem Irving Plaza Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 265,265 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 265 - Shops on Main Rack,US,IN,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 266,266 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 266 - Arborland Center Rack,US,MI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 267,267 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 267 - Great Lakes michigan Crossing Rack,US,MI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 268,268 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 268 - Lincoln Park Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 269,269 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 269 - Springbrook Prairie Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 270,270 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 270 - Oak Brook Place Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 271,271 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 271 - Arbor Lakes Rack,US,MN,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 272,272 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 272 - Mayfair Collection Rack,US,WI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 273,273 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 273 - Centerpointe Mall Rack,US,MI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 274,274 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 274 - The Shops at State and Washington Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 275,275 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 275 - The Shoppes at Knollwood Rack,US,MN,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 276,276 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 276 - Easton Market Rack,US,OH,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 277,277 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 277 - Crocker Park Rack,US,OH,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 278,278 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 278 - Sun Center Rack,US,OH,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 279,279 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 279 - The Greene Town Center Rack,US,OH,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 280,280 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 280 - South Loop Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 281,281 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 281 - Shelbyville Road Plaza Rack,US,KY,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 284,284 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 284 - The Plaza at Jordan Creek Rack,US,IA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 285,285 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 285 - Kildeer Village Square Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 286,286 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 286 - West Towne Crossing Rack,US,WI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 288,288 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 288 - Novi West Oaks Rack,US,MI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 289,289 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 289 - Fashion Outlet Rack,US,IL,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 328,328 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 328 - Chino Spectrum Towne Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 329,329 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 329 - Brea Union Plaza Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 331,331 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 331 - Towne Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 332,332 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 332 - Long Beach Exchange Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 334,334 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 334 - Colonies Crossroads Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 336,336 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 336 - Outlets at Orange Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 337,337 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 337 - Laguna Hills Mall Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 338,338 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 338 - Metro Pointe at South Coast Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 347,347 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 347 - Culver City Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
